,Eligibility
12888,"All qualified candidates eligible to work
in Yerevan, Armenia."
12890,All qualified and interested candidates.
12892,"All qualified candidates eligible to work
in Yerevan, Armenia."
12909,Everyone
12910,All qualified candidates
12911,All qualified candidates
12916,All qualified candidates
12917,All qualified candidates
12920,All qualified individuals
12924,Professionals in Accounting and Finance
12936,All qualified candidates
12944,All interested candidates
12949,All interested candidates
12966,All interested licensed auditors.
12968,All qualified candidates
12980,All qualified candidates
12985,All interested candidates
12986,All interested candidates
12987,All qualified and interested candidates.
12988,All interested and qualified candidates
12989,All qualified and interested candidates.
12992,All interested and qualified candidates
12994,All qualified candidates
12996,All qualified candidates
12998,All qualified candidates
13000,All qualified candidates
13002,All qualified candidates
13005,Everyone
13007,All qualified candidates
13009,Everyone
13014,All interested candidates
13017,All interested candidates.
13018,All qualified candidates
13020,All qualified candidates
13021,All qualified candidates
13025,All interested candidates
13036,All qualified and interested candidates.
13038,All qualified and interested candidates.
13040,All qualified candidates
13052,All interested candidates
13078,All interested candidates.
13089,All qualified candidates
13091,All qualified candidates
13094,All interested candidates.
13103,All qualified candidates
13113,All qualified candidates
13115,All qualified candidates
13116,All interested and qualified candidates.
13119,All qualified candidates
13120,All interested and qualified candidates
13122,All qualified candidates
13123,All qualified candidates
13124,All qualified candidates.
13146,All interested and qualified candidates
13154,All qualified candidates
13156,All the interested candidates
13164,All qualified candidates
13171,Everyone
13183,All qualified candidates
13199,All qualified candidates
13200,All interested candidates
13202,All interested candidates.
13203,All qualified candidates
13204,All eligible candidates.
13205,All interested candidates
13207,All interested candidates
13209,All interested and qualified candidates.
13216,All qualified candidates
13219,All eligible and interested candidates.
13223,All qualified candidates
13226,All qualified candidates
13228,All qualified candidates
13229,"For self driven, hard working and good
team player people, looking to work for a software development
organization based in USA, with exciting projects in Entertainment,
Travel, E-Commerce and Business applications."
13230,"For self driven, hard working, good team
player people, looking to work for a software development organization
based in USA, with projects in Entertainment, Travel, E-Commerce and
Business applications."
13235,All qualified candidates
13240,All qualified and interested candidates
13246,All interested candidates.
13247,All interested candidates
13252,All qualified and interested candidates
13254,All qualified candidates
13256,All qualified candidates
13257,Internal and external candidates.
13267,All interested and qualified candidates
13269,Everyone
13282,All qualified and interested candidates
13292,All interested candidates
13303,Internal and external candidates.
13312,All interested and qualified candidates
13314,Vivacious young people
13315,All interested candidates
13321,All qualified and interested candidates.
13322,All qualified candidates
13323,All qualified candidates
13325,All interested candidates
13326,"Young specialists possessing research
potential and skills"
13330,All interested candidates.
13334,All interested candidates
13335,All qualified candidates
13339,"All qualifies candidates that are
available for day and night shift work."
13352,All qualified candidates
13353,All qualified candidates
13358,All interested candidates
13359,"All interested candidates, preferably
with advocate license or at lease with the possibility to take the exam
this year."
